frame_id;device_timestamp;systime_color;systime_depth;PELVIS;SPINE_NAVAL;SPINE_CHEST;NECK;CLAVICLE_LEFT;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;HANDTIP_LEFT;THUMB_LEFT;CLAVICLE_RIGHT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HANDTIP_RIGHT;THUMB_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;HEAD;NOSE;EYE_LEFT;EAR_LEFT;EYE_RIGHT;EAR_RIGHT;
35;1429555;2082564820317;2082554545927;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
36;1462888;2082596861843;2082587938374;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
37;1496222;2082632803841;2082621274628;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
38;1529555;2082664808930;2082654588214;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
39;1562888;2082696848119;2082687926336;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
40;1596222;2082732794528;2082721283145;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
41;1629555;2082764807318;2082754642265;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
42;1662888;2082796848292;2082787950558;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
43;1696222;2082832784992;2082821271809;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
44;1729555;2082864821750;2082854651359;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
45;1762888;2082896812267;2082888042381;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
46;1796222;2082932689703;2082920135382;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
47;1829555;2082964694877;2082953494777;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
48;1862888;2082996707266;2082986829013;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
49;1896222;2083032694922;2083020199785;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
50;1929555;2083064688446;2083053499807;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
51;1962888;2083096697955;2083086874302;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
52;1996222;2083132682312;2083120192564;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
53;2029555;2083164684916;2083153523315;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
54;2062888;2083196698302;2083186855362;[-2843.26708984375, 197.08663940429688, 4303.82177734375];[-2849.129150390625, 54.665157318115234, 4291.8974609375];[-2852.725341796875, -59.14395523071289, 4281.3486328125];[-2852.043701171875, -232.08639526367188, 4261.59716796875];[-2832.58251953125, -205.788330078125, 4283.3701171875];[-2744.5478515625, -183.76254272460938, 4353.37939453125];[-2653.177734375, -12.675756454467773, 4460.47998046875];[-2555.00634765625, 140.62435913085938, 4422.50244140625];[-2526.69873046875, 198.4605255126953, 4379.90869140625];[-2559.6650390625, 258.16278076171875, 4326.482421875];[-2578.119140625, 212.0985107421875, 4334.0341796875];[-2872.786865234375, -201.38638305664062, 4247.65576171875];[-2956.750244140625, -167.05752563476562, 4193.90185546875];[-3059.837890625, 32.12783432006836, 4219.65185546875];[-2981.23193359375, 203.250732421875, 4219.63427734375];[-2961.2490234375, 281.5381164550781, 4200.09033203125];[-2921.13720703125, 346.23394775390625, 4238.26171875];[-2889.539306640625, 275.29119873046875, 4214.35498046875];[-2793.45849609375, 190.58920288085938, 4356.93994140625];[-2714.24560546875, 491.5856628417969, 4278.505859375];[-2657.140380859375, 786.6550903320312, 4217.09765625];[-2548.86474609375, 866.5099487304688, 4150.31103515625];[-2888.181640625, 202.94564819335938, 4255.923828125];[-2741.998046875, 482.94805908203125, 4200.8525390625];[-2670.33740234375, 784.4277954101562, 4192.92431640625];[-2571.08056640625, 861.1139526367188, 4134.91748046875];[-2844.620849609375, -295.33740234375, 4246.310546875];[-2727.8408203125, -335.7183837890625, 4209.8369140625];[-2746.563232421875, -356.3619079589844, 4245.01123046875];[-2814.219482421875, -330.4712219238281, 4316.30908203125];[-2758.521240234375, -363.28717041015625, 4205.4345703125];[-2863.170166015625, -361.2589416503906, 4196.50830078125];
