frame_id;device_timestamp;systime_color;systime_depth;PELVIS;SPINE_NAVAL;SPINE_CHEST;NECK;CLAVICLE_LEFT;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;HANDTIP_LEFT;THUMB_LEFT;CLAVICLE_RIGHT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HANDTIP_RIGHT;THUMB_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;HEAD;NOSE;EYE_LEFT;EAR_LEFT;EYE_RIGHT;EAR_RIGHT;
41;1596233;1617243246802;1617230502421;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
42;1629566;1617275253853;1617263844700;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
43;1662900;1617307264570;1617297162279;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
44;1696233;1617343252947;1617330513631;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
45;1729566;1617375258246;1617363887574;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
46;1762900;1617407267024;1617397208002;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
47;1796233;1617443249775;1617430534968;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
48;1829566;1617475255219;1617463914808;[1851.2102652010826, 240.16995012737306, 2847.0415275548257];[1855.1989467318735, 83.71242634283203, 2849.6045437485914];[1843.4283400954098, -40.84127171280885, 2852.296347238269];[1809.645050384798, -227.63654159064941, 2836.479009252539];[1817.3063668750322, -194.92098943769167, 2809.6387852930507];[1823.3864289457183, -132.92487976053346, 2700.778362706205];[1895.666303606028, 95.06780772105714, 2740.5307347425137];[1713.5051517866907, 180.2640414550244, 2771.6700410214376];[1644.5332988227658, 191.2218201851611, 2819.215303367973];[1555.9798974465082, 206.37393199036134, 2849.490716072336];[1677.2748919262808, 247.9552450686768, 2841.069044898889];[1814.962721797267, -198.94738367112427, 2868.4994853448316];[1801.098373299204, -166.49442901701295, 2978.3546746906823];[1760.7897566229312, 47.361507466997054, 3095.279959733341];[1627.734121874802, 204.4401942068457, 3104.671153607356];[1549.6640861291057, 237.47220548710447, 3137.6708015804406];[1486.5015716217902, 288.6034914949023, 3183.275889982938];[1647.5728139591035, 292.3488520704199, 3165.074464678987];[1847.7282970718752, 238.77202978326662, 2767.1281754642687];[1717.5385539262988, 559.9843794518604, 2824.107657073581];[1588.7194843836048, 865.2228002223535, 2878.1239967463425];[1437.9478214141698, 900.6291920423388, 2823.069344512473];[1854.3501426082555, 241.43052158263674, 2919.102358638418];[1736.361905774391, 570.6512598250293, 2947.3957914901466];[1876.5653533150635, 879.1351526819824, 2963.0953071961176];[1764.3004855034535, 976.8818393949853, 2989.771976101677];[1785.5384955895731, -294.8470384935156, 2830.292425811308];[1657.5242861657657, -352.9322189006982, 2819.556037658595];[1693.1162073446437, -371.84827504924806, 2791.5012716873616];[1787.385897452209, -333.29296488098146, 2746.80077733493];[1689.9000903375343, -379.8245694213232, 2836.5608467691086];[1791.6627841976133, -366.7566216756543, 2888.4094432110996];
49;1862900;1617507267060;1617497261546;[1787.1988574990573, 268.8073396936426, 2868.0503331963973];[1780.5056831898448, 102.379477694104, 2857.725680941049];[1774.3945183178953, -30.63366486154664, 2849.3899807199227];[1750.8368521158804, -229.51890331984862, 2815.745460923596];[1761.1997197640849, -192.5326377591223, 2790.710554887433];[1785.8071728172238, -124.8375488216565, 2678.048976734197];[1901.513650847742, 104.36151761865233, 2708.020400919769];[1727.3457175336723, 225.1110892068262, 2754.4386284701404];[1656.2941610904954, 208.42381354783203, 2807.2250073525306];[1563.1296808583056, 202.04899365205077, 2845.901378454248];[1669.354358564481, 250.57916472562502, 2847.6000143751085];[1750.1969535699827, -201.04501666312134, 2852.1036769242837];[1727.2299478467833, -173.8451827322766, 2969.855961954247];[1712.2280415682833, 56.114559379826645, 3097.387068229517];[1588.405057542041, 236.36740919705565, 3118.495306166267];[1506.227691250125, 285.74454166666015, 3133.144608005745];[1443.2470638965467, 359.7835713840625, 3153.6886242870455];[1490.0245934102397, 286.35743650903805, 3120.847781916056];[1796.5327710272445, 273.68274056328124, 2783.4107231168273];[1646.494287823772, 615.3957347692921, 2814.288265668528];[1525.134508036642, 950.3063919260499, 2848.7496041953];[1378.465611487101, 1046.1765874210107, 2846.3564881251637];[1778.7817937699938, 264.4109739401953, 2944.3735394436535];[1727.2947313181385, 632.741779929502, 2984.529750279536];[1869.316801548435, 961.3957889973486, 3035.579594814094];[1786.6171900858217, 1099.7707440935108, 3038.368680683176];[1729.8325421735863, -301.5531389243213, 2801.3075841733908];[1604.0563941908786, -371.1610828879297, 2845.217824179982];[1632.1837398701055, -394.20673843096193, 2807.5484594003137];[1707.177412337821, -356.8637828674951, 2723.6232743992564];[1645.3215736025074, -394.61831644818847, 2854.6555695758516];[1763.8144618877477, -366.215124813125, 2867.8168006215524];
50;1896233;1617543252805;1617530531629;[1711.5409152049601, 291.2783520865088, 2886.6139519217054];[1702.7752285929582, 118.19754778463134, 2874.672560193332];[1697.130089361485, -20.234468764061283, 2865.1265752931586];[1702.4430416546231, -230.66719381486328, 2845.6893620302767];[1707.473442453228, -193.06802461298952, 2816.728304201427];[1729.200523777877, -131.05920518961548, 2694.019250384723];[1811.6240447810233, 125.0681148526538, 2691.5323229122014];[1730.8961384071558, 335.4741101173681, 2706.1764785553846];[1642.2757824407586, 343.4407930614844, 2735.7396479311656];[1602.7666613176552, 288.06871293550296, 2816.005447719059];[1609.5801628483905, 292.9163386470117, 2763.590027691179];[1697.6935500419465, -198.69329796421508, 2881.2763425930007];[1687.4878202221528, -177.24166439889282, 3007.1050480482304];[1704.3415551731246, 65.97721639503662, 3132.512492224476];[1560.7578660626696, 242.44847621050292, 3109.207779375077];[1483.4965622628074, 297.55312095566404, 3143.643323631817];[1443.3015527772995, 390.9387220867676, 3124.7085973085755];[1463.610919635244, 320.28638075899414, 3122.5909072730237];[1711.853943405748, 297.3734392581592, 2798.039955471488];[1587.0891298690822, 665.8395919725243, 2822.845899637492];[1495.3986007262197, 1025.9616513710646, 2849.051701184756];[1334.3525489495375, 1110.8166958364989, 2860.797099688684];[1711.2587032945528, 285.78216662092285, 2966.4846443825927];[1700.2284937584784, 672.9615557750634, 3006.3898753658004];[1855.3388095386806, 1014.4950446457714, 3038.2124974158105];[1769.1636808103212, 1156.4983400480273, 3062.199630498032];[1691.5090891201796, -308.9136508495312, 2836.5070790058935];[1553.3973098400722, -381.88232019650394, 2845.527223005643];[1591.2280787179038, -404.2000745266406, 2813.2627583847375];[1688.019107100811, -361.90810218068845, 2749.3897323417477];[1592.7191005752504, -407.3471806798682, 2864.0519581460617];[1709.171789507139, -380.18050997409176, 2908.5061516086707];
