frame_id;device_timestamp;systime_color;systime_depth;PELVIS;SPINE_NAVAL;SPINE_CHEST;NECK;CLAVICLE_LEFT;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;HANDTIP_LEFT;THUMB_LEFT;CLAVICLE_RIGHT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HANDTIP_RIGHT;THUMB_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;HEAD;NOSE;EYE_LEFT;EAR_LEFT;EYE_RIGHT;EAR_RIGHT;
35;1396233;6047239664440;6047230029800;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
36;1429566;6047275645400;6047263339162;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
37;1462900;6047307650923;6047296666248;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
38;1496233;6047339653600;6047330038909;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
39;1529566;6047375678301;6047363482927;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
40;1562900;6047407660755;6047396816840;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
41;1596233;6047439670694;6047430107609;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
42;1629566;6047475647757;6047463423313;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
43;1662900;6047507658697;6047496733467;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
44;1696233;6047539659377;6047530100881;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
45;1729566;6047575642328;6047563546986;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
46;1762900;6047607650438;6047596607334;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
47;1796233;6047639719314;6047630108152;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
48;1829566;6047675641417;6047663489508;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
49;1862900;6047707647515;6047696774712;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
50;1896233;6047739677922;6047730107110;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
51;1929566;6047775654388;6047763506837;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
52;1962900;6047807691796;6047796816667;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
53;1996233;6047839653896;6047830170185;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
54;2029566;6047875648321;6047863533985;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
55;2062900;6047907683835;6047896835834;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
56;2096233;6047939663185;6047930125956;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
57;2129566;6047975646953;6047963517817;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
58;2162900;6048007683420;6047996842263;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
59;2196233;6048039663640;6048030201899;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
60;2229566;6048075642825;6048063583573;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
61;2262900;6048107646410;6048096871162;[-2797.782470703125, 137.57241821289062, 4256.3076171875];[-2784.942138671875, -17.69440269470215, 4259.57861328125];[-2785.031494140625, -141.91680908203125, 4269.00390625];[-2755.38671875, -324.7769470214844, 4228.45263671875];[-2742.619140625, -297.16339111328125, 4258.57568359375];[-2657.107177734375, -273.16192626953125, 4346.3408203125];[-2582.630859375, -53.75400161743164, 4413.98291015625];[-2523.206787109375, 130.6294403076172, 4354.70703125];[-2442.118408203125, 111.82103729248047, 4342.6591796875];[-2522.2119140625, 155.13992309570312, 4317.82958984375];[-2523.65478515625, 136.8084259033203, 4239.09326171875];[-2779.296630859375, -292.4364929199219, 4212.884765625];[-2851.881103515625, -241.94769287109375, 4139.55419921875];[-2888.924560546875, 1.0535833835601807, 4131.45458984375];[-2808.470458984375, 189.27005004882812, 4117.68994140625];[-2755.42919921875, 246.83935546875, 4163.22900390625];[-2682.224365234375, 293.1678466796875, 4196.4130859375];[-2772.443115234375, 153.1378936767578, 4217.48291015625];[-2754.1328125, 142.5814666748047, 4322.73779296875];[-2658.953125, 454.949462890625, 4197.66796875];[-2587.8671875, 763.0087280273438, 4089.38134765625];[-2502.73974609375, 885.7528686523438, 4022.572021484375];[-2837.14306640625, 133.0555877685547, 4196.40576171875];[-2697.544189453125, 444.5449523925781, 4122.25146484375];[-2604.11083984375, 764.9507446289062, 4070.753662109375];[-2515.195068359375, 878.6167602539062, 4027.8583984375];[-2735.4033203125, -389.65985107421875, 4206.5029296875];[-2626.7119140625, -351.8515319824219, 4286.85546875];[-2636.62646484375, -399.62890625, 4283.8154296875];[-2727.37451171875, -460.05224609375, 4264.447265625];[-2616.373046875, -376.2272644042969, 4250.23388671875];[-2664.06494140625, -399.71429443359375, 4148.888671875];
