frame_id;device_timestamp;systime_color;systime_depth;PELVIS;SPINE_NAVAL;SPINE_CHEST;NECK;CLAVICLE_LEFT;SHOULDER_LEFT;ELBOW_LEFT;WRIST_LEFT;HAND_LEFT;HANDTIP_LEFT;THUMB_LEFT;CLAVICLE_RIGHT;SHOULDER_RIGHT;ELBOW_RIGHT;WRIST_RIGHT;HAND_RIGHT;HANDTIP_RIGHT;THUMB_RIGHT;HIP_LEFT;KNEE_LEFT;ANKLE_LEFT;FOOT_LEFT;HIP_RIGHT;KNEE_RIGHT;ANKLE_RIGHT;FOOT_RIGHT;HEAD;NOSE;EYE_LEFT;EAR_LEFT;EYE_RIGHT;EAR_RIGHT;
0;266677;3284968545576;3284964625170;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
2;329566;3285004511090;0;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
3;362900;3285036550138;3285027154869;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
4;396233;3285068518928;3285059565657;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
5;429566;3285104514980;3285092915343;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
6;462900;3285136520283;3285126248670;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
7;496233;3285168524424;3285159598106;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
8;529566;3285204513635;3285192969600;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
9;562900;3285236515968;3285226320571;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
10;596233;3285268526542;3285259598981;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
11;629566;3285304513305;3285293011285;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
12;662900;3285336519805;3285326373087;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
13;696233;3285368522657;3285359668377;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
14;729566;3285404517284;3285393011093;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
15;762900;3285436523397;3285426354135;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
16;796233;3285468529710;3285459703096;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
17;829566;3285504513950;3285493069190;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
18;862900;3285536527287;3285526379387;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
19;896233;3285568530651;3285559706169;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
20;929555;3285604517986;3285593048072;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
21;962900;3285636524707;3285626421218;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
22;996233;3285668531225;3285659720356;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
23;1029566;3285704518608;3285693107161;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
24;1062900;3285736523730;3285726430510;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
25;1096233;3285768529731;3285759797682;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
26;1129566;3285804523863;3285793117356;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
27;1162900;3285836527944;3285826488422;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
28;1196233;3285868534799;3285859787711;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
29;1229566;3285904518917;3285893146264;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
30;1262900;3285936532976;3285926476667;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
31;1296233;3285968535767;3285959848554;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
32;1329566;3286004523701;3285993181524;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
33;1362900;3286036528204;3286026523943;[-2267.49853515625, 183.01138305664062, 3057.18505859375];[-2240.41015625, -13.351598739624023, 3010.94287109375];[-2208.089599609375, -168.55303955078125, 2974.24072265625];[-2101.926513671875, -381.07989501953125, 2904.1279296875];[-2119.390625, -358.3387451171875, 2952.1396484375];[-2110.1435546875, -341.670654296875, 3114.11767578125];[-2167.122802734375, -85.9936294555664, 3289.57470703125];[-2110.552001953125, 168.0308074951172, 3337.473876953125];[-2120.884765625, 263.8597412109375, 3390.19580078125];[-2064.40380859375, 260.5011901855469, 3280.666748046875];[-2081.675537109375, 311.8991394042969, 3289.375732421875];[-2121.705810546875, -334.62286376953125, 2879.1513671875];[-2124.88134765625, -240.01161193847656, 2762.741943359375];[-2146.210693359375, 78.76470184326172, 2729.1875];[-2008.2110595703125, 293.9055480957031, 2809.670166015625];[-1943.568115234375, 392.9658203125, 2810.614013671875];[-1915.84619140625, 478.77142333984375, 2891.561767578125];[-1884.7696533203125, 367.4068298339844, 2893.034912109375];[-2266.075439453125, 159.35350036621094, 3158.4794921875];[-2102.787353515625, 549.4237060546875, 3331.105224609375];[-2345.31103515625, 904.6340942382812, 3405.588134765625];[-2265.83642578125, 1089.4609375, 3477.74365234375];[-2268.781494140625, 204.34469604492188, 2965.84326171875];[-2083.373291015625, 617.7085571289062, 3019.903564453125];[-2279.342529296875, 994.4749145507812, 3139.119873046875];[-2185.654541015625, 1165.53564453125, 3164.25244140625];[-2048.7080078125, -453.5956726074219, 2879.7353515625];[-1901.1793212890625, -534.1368408203125, 2806.53125];[-1933.0904541015625, -566.8580322265625, 2851.129150390625];[-2016.598876953125, -532.0982055664062, 2963.989501953125];[-1952.822021484375, -560.3883666992188, 2795.208984375];[-2097.21435546875, -521.7704467773438, 2793.029541015625];
34;1396233;3286068537748;3286059831622;[-2214.9013671875, 159.82936096191406, 3020.369384765625];[-2201.258056640625, -31.7353572845459, 2992.5615234375];[-2182.396484375, -183.77032470703125, 2968.13330078125];[-2094.302734375, -396.83575439453125, 2917.066650390625];[-2105.177001953125, -369.03240966796875, 2961.23779296875];[-2083.921142578125, -329.9220275878906, 3110.219970703125];[-2128.912109375, -90.50739288330078, 3286.300048828125];[-2080.4755859375, 154.82644653320312, 3319.61181640625];[-2056.572021484375, 256.79852294921875, 3318.980224609375];[-2054.55517578125, 361.3962707519531, 3265.418212890625];[-2036.172607421875, 296.7088317871094, 3276.6923828125];[-2114.624755859375, -355.1434020996094, 2889.9921875];[-2121.103515625, -271.0340576171875, 2774.469970703125];[-2138.45849609375, 29.99749183654785, 2720.82861328125];[-1999.6959228515625, 237.42320251464844, 2775.468017578125];[-1958.74365234375, 340.0767517089844, 2797.89794921875];[-1942.184326171875, 438.58233642578125, 2855.937255859375];[-1914.6690673828125, 326.6326904296875, 2868.6396484375];[-2187.162353515625, 148.08782958984375, 3114.86376953125];[-2116.378173828125, 558.2922973632812, 3242.674560546875];[-2315.91845703125, 906.8457641601562, 3351.656494140625];[-2235.151123046875, 1091.123779296875, 3383.91064453125];[-2239.914794921875, 170.41726684570312, 2935.16015625];[-2161.18505859375, 597.2896118164062, 2963.221435546875];[-2304.91259765625, 970.2857055664062, 3093.843017578125];[-2222.83544921875, 1138.8353271484375, 3092.22412109375];[-2048.199951171875, -470.21258544921875, 2897.447265625];[-1886.0264892578125, -510.80914306640625, 2846.4521484375];[-1915.1708984375, -551.4111938476562, 2881.217041015625];[-2014.752685546875, -545.3002319335938, 2976.400634765625];[-1926.8739013671875, -543.7340087890625, 2826.096923828125];[-2067.370361328125, -534.386474609375, 2804.11865234375];
