PROCESSED TRAINING DATA: FORMAT = X, Y, Z, Angle, Axis X, Axis Y, Axis Z
124.513, 561.376, 3974.24, 2.2879996259053716, 0.562693310190722, 0.5469380117538155, 0.6198669615049595
107.808, 637.164, 3828.89, 1.7259024326920565, 0.0952913499643567, 0.9933062708014024, 0.06528561103781863
194.556, -735.843, 3932.03, 2.1289028372886274, -0.49184186681560244, 0.501226411847548, -0.7119435807097185
159.068, -761.009, 3784.72, 2.1289028372886274, -0.49184186681560244, 0.501226411847548, -0.7119435807097185
178.965, -802.247, 3812.4, 3.063993010787005, -0.647568156507836, -0.13040209968396083, -0.7507667914039999
252.133, -814.284, 3908.25, 2.2523256900829574, 0.537218676351964, 0.6896686432999287, 0.4855442886364535
132.023, -785.948, 3817.77, 3.063993010787005, -0.647568156507836, -0.13040209968396083, -0.7507667914039999
101.609, -774.68, 3938.75, 1.9041988634118034, 0.49184186681560244, -0.501226411847548, 0.7119435807097184
183.652, -166.473, 4080.81, 2.2476780181005975, -0.6825943489216773, 0.4253438374807648, -0.5942622104234192
192.295, -329.607, 4026.73, 2.2271020074950663, -0.6786538581415842, 0.43645301232119715, -0.5907094961698985
198.944, -460.688, 3985.5, 2.302716848641015, -0.5894356527807203, 0.5014005668573092, -0.6333743622741098
198.826, -663.681, 3934.05, 2.3991279827603673, -0.6108796601012807, 0.4400498636604135, -0.6581657529581703
231.309, -629.955, 3940.58, 2.8463656351491426, 0.8213422727049645, -0.552819025013212, -0.14066981428609787
357.891, -576.022, 3949.57, 1.9869769000363422, 0.8240199378613762, -0.4545365462516936, -0.33821246299998414
422.832, -317.588, 3943.07, 1.3849927961335227, 0.6686564558396509, -0.721508557204697, -0.17978861461269877
375.608, -146.914, 3806.37, 1.639504898529669, 0.46020890562481703, -0.8529724356091531, -0.24626365398612435
370.033, -88.209, 3734.61, 2.785843695193784, 0.7518161134176364, -0.2638286743590872, -0.6042904617744073
393.997, -28.725, 3816.77, 2.785843695193784, 0.7518161134176364, -0.2638286743590872, -0.6042904617744073
315.704, -54.6823, 3870.36, 1.3516167754546715, 0.7733043728311277, 0.5578082300859607, -0.3014138772661669
166.672, -630.819, 3946.48, 2.801666438944087, -0.5754932376217476, -0.8120284553083266, 0.0970428834135289
49.4015, -587.059, 3967.06, 2.055459081383376, -0.37051821935592366, -0.836672845539495, 0.4033544330513305
-12.3622, -363.66, 4108.62, 2.202826720075917, -0.4527758782484026, -0.7217882607915488, 0.5234650997534589
-47.4511, -144.733, 4155.14, 2.1741878996799495, -0.827037409080603, 0.1905579659604956, -0.5288636739181867
-68.1849, -63.6353, 4209.86, 1.5559566607022826, -0.7051342034238407, 0.4799734759025649, -0.5219302803936899
-39.1713, 33.8782, 4197.83, 1.5559566607022826, -0.7051342034238407, 0.4799734759025649, -0.5219302803936899
-20.9915, -28.5161, 4175.81, 0.9726211093051192, -0.8073457965017892, -0.5890784791697561, 0.03434108690677864
270.836, -165.686, 4092.37, 2.1941026176154312, -0.6949507841540015, 0.42519215879298244, -0.5798750173138186
251.07, 202.987, 4205.5, 2.353729385939395, -0.7210143150637616, 0.3444005084263921, -0.6012708601527081
218.29, 521.92, 4388.24, 2.2496400168292956, -0.7083783765386079, 0.3910361874044409, -0.5876144788828175
236.775, 677.478, 4298.18, 2.8531801822581766, 0.768882513846382, 0.12551072185357826, 0.6269503477956304
105.034, -167.183, 4070.39, 2.202508380468812, 0.6174659341955383, 0.5056967741455749, 0.6025002844205058
110.108, 211.957, 3999.56, 2.1658830579935624, 0.6078008189954596, 0.5285856009204388, 0.5926005627132219
114.786, 581.951, 3953.18, 2.23953249654462, 0.5821606999063563, 0.5393373150883397, 0.6084440648390302
106.295, 660.36, 3806.83, 1.6619666157191382, 0.08835575076791408, 0.9940890164065208, 0.06308952976646863
197.6, -735.858, 3902.48, 2.176744875658791, -0.503480514264213, 0.5325343268200005, -0.6803782495896032
162.276, -765.719, 3754.54, 2.176744875658791, -0.503480514264213, 0.5325343268200005, -0.6803782495896032
186.495, -805.055, 3782.49, 3.1162661817910697, -0.6434814638606462, -0.09261840736303607, -0.7598377697148877
262.44, -809.5, 3878.22, 2.216965949544517, 0.518341703114414, 0.6734225491378999, 0.5270900768607407
137.89, -793.012, 3788.47, 3.1162661817910697, -0.6434814638606462, -0.09261840736303607, -0.7598377697148877
107.945, -783.487, 3910.88, 1.9467221286166818, 0.5034805142642131, -0.5325343268200006, 0.6803782495896032
179.574, -155.323, 4053.29, 2.2417268710682294, -0.6796860225180597, 0.4269064018429648, -0.5964711517408638
187.077, -321.189, 3999.31, 2.199428134447534, -0.671239955158824, 0.45006733990719455, -0.5889620634194036
192.266, -455.724, 3962.49, 2.294182149597598, -0.5733644064069396, 0.5222483184478957, -0.6312764460551044
192.297, -663.636, 3918.76, 2.388087008192561, -0.595732130898583, 0.46069736370993847, -0.65792185499932
225.164, -628.971, 3923.11, 2.8319916481949448, 0.8131938715483221, -0.5680495261348856, -0.12663120916339304
354.028, -574.662, 3927.02, 2.022378804406761, 0.8155582862995898, -0.4556643829745575, -0.3566996660167936
422.619, -313.08, 3929.15, 1.4164121046525406, 0.6569626891686728, -0.7284230779040646, -0.19442182134995734
380.456, -138.536, 3790.32, 1.530845125194868, 0.30629056771709273, -0.8792421829199603, -0.3648551382421303
360.422, -87.2788, 3713.82, 2.6692046874986515, 0.7347138145059822, -0.14104707320582632, -0.6635520581794163
366.566, -33.2184, 3804.49, 2.6692046874986515, 0.7347138145059822, -0.14104707320582632, -0.6635520581794163
304.248, -50.9565, 3848.22, 1.2210960083836195, 0.7672794082208729, 0.6216966637252554, -0.1574025667932818
159.77, -630.011, 3930.84, 2.7966591815463486, -0.5923519035738761, -0.8025543862487714, 0.07089202666917523
39.9075, -590.02, 3955.28, 2.0485158457326635, -0.3954203904174545, -0.8177472855446088, 0.4182488395997433
-16.4144, -355.687, 4088.86, 2.203546672679512, -0.47552924132292945, -0.7002889678860187, 0.532416474298057
-48.6543, -131.169, 4126.05, 2.288086982679009, -0.811943567580533, 0.1009612615661787, -0.5749386634481649
-67.7032, -62.4488, 4198.23, 1.5769267976902281, -0.6623477802078432, 0.4511929140340105, -0.5980972934057137
-30.9313, 34.6146, 4192.76, 1.5769267976902281, -0.6623477802078432, 0.4511929140340105, -0.5980972934057137
-25.4343, -25.3657, 4179.76, 1.0682369212486142, -0.7107156587471541, -0.6235981713560536, -0.3255895776786857
268.077, -155.021, 4064.66, 2.2561479692041893, -0.6746552460317683, 0.4286152637438229, -0.6009403087558924
251.137, 214.391, 4194.03, 2.385410317929247, -0.6964175229612763, 0.3599661804405101, -0.6208276593802424
228.053, 537.847, 4381.2, 2.3015892142932284, -0.6427100999974209, 0.46580057220760135, -0.6082380736951416
223.491, 687.804, 4275.83, 2.893353750735656, 0.7131028939900586, 0.09112784567677179, 0.6951114862562076
99.766, -155.594, 4043.03, 2.2000114705247205, 0.6211667690323578, 0.5104251857254348, 0.5946578636720923
110.248, 229.64, 3974.9, 2.156599782168038, 0.6097394727504369, 0.5372425814773074, 0.5827419531985127
119.908, 605.815, 3935.51, 2.322347880569582, 0.5825800822027172, 0.5194362785686611, 0.6251291069270537
105.58, 672.919, 3781.42, 1.7139791980729122, 0.13139114696336576, 0.98686803227877, 0.09395665684707949
190.758, -738.121, 3889.77, 2.204315890317636, -0.5323440240330857, 0.5498213539500827, -0.6436663101458389
162.409, -771.385, 3738.71, 2.204315890317636, -0.5323440240330857, 0.5498213539500827, -0.6436663101458389
189.467, -809.008, 3767.92, 3.1086727733940562, 0.6553086442743783, 0.059212009669454974, 0.7530368640711959
263.542, -806.809, 3867.41, 2.1517807617696043, 0.5132557050505068, 0.6525683249872685, 0.5574254770428223
139.11, -801.137, 3772.41, 3.1086727733940562, 0.6553086442743783, 0.059212009669454974, 0.7530368640711959
104.132, -794.193, 3895.57, 1.9977730122026134, 0.5323440240330857, -0.5498213539500827, 0.6436663101458389
176.218, -150.596, 4021.74, 2.2346205714155123, -0.6953745889777051, 0.41822261130518357, -0.5844176831660391
186.975, -315.289, 3967.23, 2.1746442215916675, -0.6838345128794034, 0.45000749015461167, -0.5743375469179569
194.012, -449.813, 3933.15, 2.263688882736886, -0.5835951569904211, 0.5087849810363572, -0.6328937792466912
190.351, -656.596, 3888.81, 2.3592793290400103, -0.6064553164168188, 0.44687934706030813, -0.6576555316886864
223.758, -622.94, 3894.43, 2.881883430356167, 0.811395228755055, -0.5666567476350705, -0.14331054780851285
352.734, -571.68, 3906.01, 1.9870440703706533, 0.8279983406285153, -0.444187007610948, -0.34222310001818534
